pattern_id,pattern_name,category,description,behavior_signature,risk_level,recommended_action,expected_agent_response,expected_customer_response
PAT0011,Cryptocurrency Mining Pool,Investment Scam,Fake cloud mining operation promising daily returns from cryptocurrency mining hardware investments.,crypto_keywords|recurring_returns|new_recipient,Medium,Show warning to customer,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I appreciate the alert. Let me verify this independently first.
PAT0012,Agriculture Investment Scheme,Investment Scam,Promises high returns from agricultural land or produce investment schemes that don't actually exist.,rural_targeting|large_amount|seasonal_promises,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I understand the risk but I still want to continue.
PAT0013,Startup Investment Fraud,Investment Scam,Solicits investment in fake startups with fabricated valuations and exit strategies.,large_amount|startup_keywords|urgency|fake_documents,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,Thank you for the warning. I will cancel this transaction.
PAT0014,Ponzi Scheme Classic,Investment Scam,Multi-level investment scheme where returns to existing investors are funded by new investor deposits.,recruitment_pressure|regular_payments|increasing_contribution,Medium,Show warning to customer,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I didn't realize this was a scam. I will not proceed.
PAT0015,Commodity Trading Scam,Investment Scam,Fake commodity trading platform showing manipulated profits to encourage larger deposits.,escalating_amounts|trading_keywords|new_platform,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I didn't realize this was a scam. I will not proceed.
PAT0016,Bank Manager Call,Impersonation Scam,Caller impersonates bank manager claiming account issues requiring immediate payment to 'secure' the account.,phone_initiated|urgency|bank_keywords|new_recipient,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I understand the risk but I still want to continue.
PAT0017,RBI Officer Fraud,Impersonation Scam,Impersonates Reserve Bank of India officer threatening account freeze unless 'compliance fee' is paid immediately.,government_impersonation|threat|urgency|large_amount,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I appreciate the alert. Let me verify this independently first.
PAT0018,Income Tax Notice Scam,Impersonation Scam,Sends fake income tax notice via SMS/WhatsApp demanding immediate payment to avoid penalties and arrest.,tax_keywords|threat_of_arrest|urgency|government_impersonation,Critical,Block transaction automatically,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I appreciate the alert. Let me verify this independently first.
PAT0019,Police Impersonation,Impersonation Scam,"Caller claims to be police officer saying victim's Aadhaar/PAN is linked to criminal activity, demands payment to clear records.",authority_impersonation|threat|fear|immediate_payment,Medium,Show warning to customer,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,"This is a legitimate investment, I have done my research."
PAT0020,Telecom Provider Fraud,Impersonation Scam,Impersonates telecom company claiming SIM will be deactivated unless KYC update fee is paid.,telecom_keywords|urgency|small_amount|deactivation_threat,Medium,Show warning to customer,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,Thank you for the warning. I will cancel this transaction.
PAT0021,Electricity Board Scam,Impersonation Scam,Threatens immediate power disconnection unless outstanding bill is paid to specified account within hours.,utility_impersonation|threat|urgency|alternate_account,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,"This is a legitimate investment, I have done my research."
PAT0022,Insurance Company Fraud,Impersonation Scam,Impersonates insurance company offering maturity bonus payout after paying 'processing charges'.,insurance_keywords|advance_fee|official_documents,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I appreciate the alert. Let me verify this independently first.
PAT0023,Courier Company Scam,Impersonation Scam,Claims package held at customs requiring payment of duties to a personal account to release delivery.,customs_keywords|advance_fee|personal_account,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,Thank you for the warning. I will cancel this transaction.
PAT0024,Hospital Emergency Call,Impersonation Scam,Caller claims relative is in hospital emergency room and needs immediate payment for life-saving treatment.,emotional_pressure|urgency|family_keywords|new_recipient,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,Thank you for the warning. I will cancel this transaction.
PAT0025,Government Subsidy Fraud,Impersonation Scam,Promises government subsidy or scheme benefit after paying 'registration fee' to unauthorized account.,government_scheme|advance_fee|official_language,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,"This is a legitimate investment, I have done my research."
PAT0026,EPFO Impersonation,Impersonation Scam,Impersonates EPFO official offering early PF withdrawal after paying a 'processing fee'.,epfo_keywords|advance_fee|official_impersonation,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I didn't realize this was a scam. I will not proceed.
PAT0027,Passport Office Scam,Impersonation Scam,Claims passport renewal requires urgent fee payment to avoid cancellation.,government_impersonation|urgency|document_threat,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I didn't realize this was a scam. I will not proceed.
PAT0028,Online Dating Fund Request,Romance Scam,"After weeks of online relationship building, partner requests money for emergency medical treatment abroad.",relationship_buildup|emotional_appeal|foreign_recipient|medical_emergency,Medium,Show warning to customer,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I didn't realize this was a scam. I will not proceed.
PAT0029,Military Deployment Scam,Romance Scam,Claims to be deployed military officer needing funds for 'leave approval' or 'satellite phone charges'.,military_keywords|emotional_attachment|recurring_requests,Critical,Block transaction automatically,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I appreciate the alert. Let me verify this independently first.
PAT0030,Visa and Travel Romance,Romance Scam,Online partner claims they need funds for visa and travel to visit the victim in India.,travel_keywords|escalating_amounts|emotional_pressure,Medium,Show warning to customer,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,Thank you for the warning. I will cancel this transaction.
PAT0031,Business Emergency Romance,Romance Scam,Long-distance partner claims business emergency and needs urgent loan that will be returned with interest.,business_emergency|romantic_context|large_amount|repayment_promise,High,Initiate agentic conversation,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I didn't realize this was a scam. I will not proceed.
PAT0032,Gift Card Romance Scam,Romance Scam,"Partner requests gift cards instead of direct transfer, claiming they can only accept this form of payment.",gift_card_purchase|romantic_context|multiple_small_amounts,High,Initiate agentic conversation,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I appreciate the alert. Let me verify this independently first.
PAT0033,Inheritance Romance Fraud,Romance Scam,Partner claims large inheritance locked in foreign bank requiring 'legal fees' to access.,inheritance_story|escalating_fees|foreign_context,Critical,Block transaction automatically,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I didn't realize this was a scam. I will not proceed.
PAT0034,Medical Emergency Romance,Romance Scam,"Partner or partner's family member suddenly needs expensive surgery, requests immediate financial help.",medical_urgency|emotional_manipulation|large_amount,Medium,Show warning to customer,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,"I know this person, I want to proceed anyway."
PAT0035,Stranded Abroad Romance,Romance Scam,"Claims to be stranded in foreign country with stolen passport and wallet, needs emergency funds.",emergency_abroad|emotional_appeal|immediate_transfer,High,Initiate agentic conversation,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I appreciate the alert. Let me verify this independently first.
PAT0036,Microsoft Support Fraud,Tech Support Scam,"Cold call claiming Windows virus detected, requests remote access and payment for 'cleanup service'.",remote_access|tech_keywords|foreign_call|escalating_fees,Medium,Show warning to customer,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,"This is a legitimate investment, I have done my research."
PAT0037,Antivirus Renewal Scam,Tech Support Scam,Fake antivirus expiry notification directing to payment page for unnecessary renewal.,phishing_link|tech_keywords|recurring_charge,High,Initiate agentic conversation,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0038,ISP Technical Issue,Tech Support Scam,Impersonates internet provider claiming technical issue requiring payment for 'router upgrade'.,telecom_impersonation|tech_keywords|advance_payment,High,Initiate agentic conversation,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0039,Apple ID Lock Scam,Tech Support Scam,Claims Apple ID has been compromised and requires payment to 'verify identity' and unlock account.,brand_impersonation|urgency|identity_verification,Medium,Show warning to customer,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,I didn't realize this was a scam. I will not proceed.
PAT0040,Google Account Recovery,Tech Support Scam,Fake notification about Google account breach requesting payment for 'security verification'.,brand_impersonation|phishing|security_keywords,Critical,Block transaction automatically,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,I understand the risk but I still want to continue.
PAT0041,Bank App Update Fraud,Tech Support Scam,"Claims mobile banking app needs urgent security update, directs to fake page collecting credentials and payment.",bank_impersonation|app_update|credential_theft,Medium,Show warning to customer,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,"I know this person, I want to proceed anyway."
PAT0042,WhatsApp Lottery Winner,Lottery Scam,"Random WhatsApp message claiming user won international lottery, requires 'tax payment' to release winnings.",unsolicited_message|lottery_keywords|advance_fee|foreign_recipient,High,Initiate agentic conversation,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0043,KBC Prize Fraud,Lottery Scam,"Claims victim selected for KBC (Kaun Banega Crorepati) prize, demands processing fee for prize money.",tv_show_impersonation|advance_fee|official_documents,Medium,Show warning to customer,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,I didn't realize this was a scam. I will not proceed.
PAT0044,Amazon Lucky Draw,Lottery Scam,"Fake notification of Amazon lucky draw winning, requires payment for shipping and handling of prize.",brand_impersonation|advance_fee|phishing_link,High,Initiate agentic conversation,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0045,Government Lucky Draw,Lottery Scam,"Claims government-sponsored lucky draw selection, demands registration fee to claim prize.",government_impersonation|advance_fee|official_language,High,Initiate agentic conversation,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,I didn't realize this was a scam. I will not proceed.
PAT0046,SIM Card Lucky Draw,Lottery Scam,Text message claiming mobile number selected for telecom company lucky draw with cash prize.,telecom_impersonation|advance_fee|sms_phishing,Critical,Block transaction automatically,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,"I know this person, I want to proceed anyway."
PAT0047,International Sweepstakes,Lottery Scam,"Email claiming selection for international sweepstakes, requires upfront tax payment in cryptocurrency.",foreign_lottery|crypto_payment|advance_fee,High,Initiate agentic conversation,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0048,Loan Approval Fee Fraud,Advance Fee Scam,"Offers pre-approved personal loan at low interest, requires upfront 'processing fee' before disbursement.",loan_keywords|advance_fee|too_good_terms|new_recipient,High,Initiate agentic conversation,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,"This is a legitimate investment, I have done my research."
PAT0049,Job Offer Processing Fee,Advance Fee Scam,Fake job offer from reputed company requiring registration/training fee before joining date.,job_keywords|advance_fee|company_impersonation,Medium,Show warning to customer,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,I appreciate the alert. Let me verify this independently first.
PAT0050,Flat Booking Advance,Advance Fee Scam,Requests advance booking amount for non-existent affordable housing in prime location.,real_estate_keywords|large_advance|urgency|limited_availability,High,Initiate agentic conversation,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,Thank you for the warning. I will cancel this transaction.
PAT0051,Visa Processing Fee,Advance Fee Scam,Fake immigration consultant demanding upfront visa processing fees with guaranteed approval.,visa_keywords|advance_fee|government_impersonation,Medium,Show warning to customer,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,Thank you for the warning. I will cancel this transaction.
PAT0052,Scholarship Fee Fraud,Advance Fee Scam,Claims student selected for prestigious scholarship requiring 'administrative fee' to process.,education_keywords|advance_fee|official_impersonation,Medium,Show warning to customer,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,"This is a legitimate investment, I have done my research."
PAT0053,Car Loan Pre-Processing,Advance Fee Scam,Offers instant car loan approval with low EMI but requires upfront insurance and processing charges.,vehicle_loan|advance_fee|official_documents,High,Initiate agentic conversation,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,I didn't realize this was a scam. I will not proceed.
PAT0054,Crypto Doubling Scheme,Crypto Scam,Promises to double cryptocurrency investment within 24 hours using 'proprietary AI trading algorithm'.,crypto_keywords|unrealistic_returns|urgency|ai_claims,Medium,Show warning to customer,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,"This is a legitimate investment, I have done my research."
PAT0055,Fake Crypto Exchange,Crypto Scam,Directs to fraudulent cryptocurrency exchange that accepts deposits but blocks all withdrawals.,crypto_exchange|deposits_only|fake_platform,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,"I know this person, I want to proceed anyway."
PAT0056,NFT Investment Fraud,Crypto Scam,Promotes worthless NFTs as guaranteed appreciating digital art investments with celebrity endorsements.,nft_keywords|celebrity_impersonation|large_amount,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,Thank you for the warning. I will cancel this transaction.
PAT0057,DeFi Yield Farming Scam,Crypto Scam,Promises extremely high APY through decentralized finance protocol that is actually a rug-pull scheme.,defi_keywords|unrealistic_apy|smart_contract_risk,Critical,Block transaction automatically,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I didn't realize this was a scam. I will not proceed.
PAT0058,Bitcoin ATM Scam,Crypto Scam,Instructs victim to deposit cash at Bitcoin ATM and send cryptocurrency to 'secure' wallet controlled by scammer.,crypto_keywords|cash_conversion|urgency|authority_impersonation,Medium,Show warning to customer,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I didn't realize this was a scam. I will not proceed.
PAT0059,Crypto Recovery Scam,Crypto Scam,"Targets previous crypto scam victims, offering recovery services for an upfront fee.",recovery_promise|advance_fee|targeting_victims,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,Thank you for the warning. I will cancel this transaction.
PAT0060,Pump and Dump Token,Crypto Scam,Promotes unknown cryptocurrency token with coordinated social media hype before founders dump holdings.,obscure_token|social_media_push|urgency|fomo,Critical,Block transaction automatically,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,"I know this person, I want to proceed anyway."
PAT0061,Fake Airdrop Scam,Crypto Scam,Claims free cryptocurrency airdrop requiring 'gas fee' payment or wallet connection to malicious site.,free_crypto|advance_fee|phishing_link,Medium,Show warning to customer,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,Thank you for the warning. I will cancel this transaction.
PAT0062,CEO Video Call Fraud,Deepfake Scam,Uses deepfake technology to impersonate company CEO in video call instructing urgent fund transfer to vendor.,deepfake_video|authority_impersonation|large_amount|urgency,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,"I know this person, I want to proceed anyway."
PAT0063,Family Member Video Scam,Deepfake Scam,Deepfake video call impersonating family member requesting emergency funds for accident or legal trouble.,deepfake_video|family_impersonation|emotional_urgency|new_recipient,Critical,Block transaction automatically,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I didn't realize this was a scam. I will not proceed.
PAT0064,Celebrity Endorsement Deepfake,Deepfake Scam,Deepfake video of celebrity endorsing investment scheme to establish credibility for fraud.,deepfake_video|celebrity_impersonation|investment_scam,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I appreciate the alert. Let me verify this independently first.
PAT0065,Friend Voice Clone,Deepfake Scam,AI-generated voice clone of friend requesting urgent loan via phone call.,voice_clone|friend_impersonation|urgency|new_account,Critical,Block transaction automatically,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I understand the risk but I still want to continue.
PAT0066,Boss Impersonation Call,Deepfake Scam,AI voice clone of workplace boss instructing confidential urgent payment to new vendor.,voice_clone|authority_impersonation|confidentiality|urgency,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,Thank you for the warning. I will cancel this transaction.
PAT0067,Relative Kidnapping Hoax,Deepfake Scam,Uses voice cloning to simulate kidnapped relative's voice demanding ransom payment.,voice_clone|ransom|extreme_urgency|emotional_manipulation,Critical,Block transaction automatically,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I didn't realize this was a scam. I will not proceed.
PAT0068,Accident Emergency Fraud,Emergency Scam,Caller claims relative involved in serious accident and needs immediate hospital payment before treatment.,medical_emergency|family_context|urgency|new_recipient,High,Initiate agentic conversation,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,"I know this person, I want to proceed anyway."
PAT0069,Arrest Threat Scam,Emergency Scam,Claims family member arrested and needs bail money transferred immediately to avoid jail.,legal_emergency|family_context|urgency|threat,Critical,Block transaction automatically,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,I understand the risk but I still want to continue.
PAT0070,Stranded Traveller Fraud,Emergency Scam,"Claims friend or relative stranded in remote location with no money or phone, needs immediate help.",travel_emergency|friend_family|urgency|unverifiable,Critical,Block transaction automatically,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,I appreciate the alert. Let me verify this independently first.
PAT0071,Fire or Flood Emergency,Emergency Scam,Claims home destroyed by fire/flood and needs immediate financial assistance for shelter and food.,natural_disaster|emotional_appeal|urgency,High,Initiate agentic conversation,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,"This is a legitimate investment, I have done my research."
PAT0072,College Fee Emergency,Emergency Scam,Claims child's college admission at risk unless fee is paid within hours to specific account.,education_emergency|time_pressure|parental_anxiety,High,Initiate agentic conversation,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,I didn't realize this was a scam. I will not proceed.
PAT0073,Work From Home Reshipping,Money Mule,"Offers work-from-home job receiving and forwarding packages or money transfers, making victim an unwitting money mule.",job_offer|forwarding_pattern|multiple_small_transactions,High,Initiate agentic conversation,This transaction pattern suggests your account may be used to move funds for criminal activity. Please reconsider this transfer.,Thank you for the warning. I will cancel this transaction.
PAT0074,Payment Processing Job,Money Mule,Recruits victim as 'payment processor' receiving funds in personal account and forwarding to other accounts.,job_offer|rapid_forwarding|multiple_recipients,Medium,Show warning to customer,This transaction pattern suggests your account may be used to move funds for criminal activity. Please reconsider this transfer.,I appreciate the alert. Let me verify this independently first.
PAT0075,Crypto Exchange Assistant,Money Mule,Asks victim to convert cash to crypto and transfer to specified wallets as a 'side job'.,crypto_conversion|rapid_turnover|commission_based,Critical,Block transaction automatically,This transaction pattern suggests your account may be used to move funds for criminal activity. Please reconsider this transfer.,I appreciate the alert. Let me verify this independently first.
PAT0076,KYC Update Fraud,Fake Bank Officer,"Calls as bank officer claiming KYC update required immediately or account will be frozen, collects details and money.",kyc_keywords|bank_impersonation|urgency|account_freeze_threat,High,Initiate agentic conversation,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,"I know this person, I want to proceed anyway."
PAT0077,Credit Card Upgrade Scam,Fake Bank Officer,Offers premium credit card upgrade requiring 'activation fee' and collects full card details.,credit_card_keywords|upgrade_offer|advance_fee|data_theft,Medium,Show warning to customer,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I appreciate the alert. Let me verify this independently first.
PAT0078,Loan Closure Scam,Fake Bank Officer,"Claims outstanding loan requires immediate closure payment to avoid legal action, provides fake loan details.",loan_keywords|legal_threat|urgency|fake_account,Critical,Block transaction automatically,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I appreciate the alert. Let me verify this independently first.
PAT0079,Account Verification Fraud,Fake Bank Officer,"Sends OTP and asks customer to share for 'verification', then uses it to authorize fraudulent transaction.",otp_request|social_engineering|bank_impersonation,Medium,Show warning to customer,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,Thank you for the warning. I will cancel this transaction.
PAT0080,Reward Points Redemption,Fake Bank Officer,"Claims accumulated reward points expiring today, guides through fake redemption process that initiates transfer.",reward_keywords|urgency|bank_impersonation|guided_process,Medium,Show warning to customer,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,"I know this person, I want to proceed anyway."
PAT0081,Debit Card Block Alert,Fake Bank Officer,Fake alert that debit card will be blocked unless user calls given number and pays 'renewal fee'.,card_block_threat|urgency|advance_fee|bank_impersonation,Medium,Show warning to customer,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I appreciate the alert. Let me verify this independently first.
PAT0082,Data Entry Job Fraud,Job Scam,Offers high-paying data entry job requiring upfront registration and software purchase fee.,job_keywords|advance_fee|unrealistic_salary,High,Initiate agentic conversation,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0083,Part-time Social Media Job,Job Scam,"Promises payment for liking/sharing social media posts, requires initial 'task activation' payment.",social_media|small_advance|escalating_tasks,Critical,Block transaction automatically,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,"I know this person, I want to proceed anyway."
PAT0084,Foreign Job Placement,Job Scam,Fake recruitment agency offering Gulf/European jobs with visa sponsorship after paying placement fee.,foreign_job|advance_fee|visa_promise|agency_impersonation,Medium,Show warning to customer,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0085,App Review Task Scam,Job Scam,"Telegram-based task scam asking users to rate apps for money, requiring escalating 'investment' amounts.",telegram_based|escalating_deposits|task_based,Critical,Block transaction automatically,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0086,Fake Disaster Relief,Charity Scam,Solicits donations for fabricated or real disaster using fake charity organization and emotional imagery.,charity_keywords|emotional_appeal|unverified_org,High,Initiate agentic conversation,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,"I know this person, I want to proceed anyway."
PAT0087,Child Education Charity,Charity Scam,Fake NGO collecting funds for child education with no actual beneficiaries.,charity_keywords|emotional_appeal|recurring_donation,Critical,Block transaction automatically,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,I appreciate the alert. Let me verify this independently first.
PAT0088,Temple Donation Fraud,Charity Scam,Impersonates religious institution collecting donations for temple renovation or festival.,religious_keywords|impersonation|community_trust,Medium,Show warning to customer,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,I appreciate the alert. Let me verify this independently first.
